資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 07/ 01 (火) , 07/ 02 (水) , 07/ 03 (木) , 07/ 04 (金) , 07/ 05 (土) , 07/ 06 (日) , 07/ 07 (月) , 07/ 08 (火) , 07/ 09 (水) , 07/ 10 (木) , 07/ 11 (金) , 07/ 12 (土) , 07/ 13 (日) , 07/ 14 (月) , 07/ 15 (火) , 07/ 16 (水) , 07/ 17 (木) , 07/ 18 (金) , 07/ 19 (土) , 07/ 20 (日) , 07/ 21 (月) , 07/ 22 (火) , 07/ 23 (水) , 07/ 24 (木) , 07/ 25 (金) , 07/ 26 (土) , 07/ 27 (日) , 07/ 28 (月) , 07/ 29 (火) , 07/ 30 (水) , 07/ 31 (木) ,合計,月平均,,1月～前月平均
,　計　　　    　 (C),,,"¥325,518","¥18,984","¥9,888","¥22,037","¥2,300","¥137,225","¥2,510,595","¥3,144","¥24,970","¥15,985","¥4,615","¥98,515",¥0,"¥3,870","¥113,400","¥39,800","¥102,991","¥6,720","¥45,000",¥0,"¥7,101","¥11,000","¥39,895","¥4,400","¥32,007","¥12,213","¥4,927","¥608,802","¥13,510",¥0,"¥6,833,145","¥11,052,557","¥140,647",,
,,差引過不足  (B)-(C)=(D),¥0,"-¥305,871","-¥18,984","-¥9,888","-¥22,037","-¥2,300","-¥137,225","-¥2,496,228","¥188,806","-¥24,970","-¥15,985","¥9,905","-¥98,515","¥125,175","-¥3,870","-¥113,400","¥393,050","-¥102,991","-¥6,720","-¥12,000",¥0,"-¥7,101","-¥2,725","-¥17,895","-¥4,400","¥117,013","-¥12,213","-¥4,927","-¥608,802","-¥13,510","¥9,900","-¥4,604,756","-¥7,803,464","-¥103,184",,
投資収支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,計　　　    　 (E),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
財務収支,収入,借入金（銀行）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金(銀行以外),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,支出,借入金返済（銀行）,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
,,支払利息（銀行）,,,,,,,,,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,
,,借入金返済（銀行以外）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,財務収支計　 (F) ,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,
翌月繰越金 (A)+(D)-(E)+(F)=(G),,,"¥13,522,647","¥13,216,776","¥13,197,792","¥13,187,904","¥13,165,867","¥13,163,567","¥13,026,342","¥10,530,114","¥10,718,920","¥10,693,950","¥10,677,965","¥10,687,870","¥10,589,355","¥10,714,530","¥10,710,660","¥10,597,260","¥10,990,310","¥10,887,319","¥10,880,599","¥10,868,599","¥10,868,599","¥10,861,498","¥10,858,773","¥10,840,878","¥10,836,478","¥10,953,491","¥10,941,278","¥10,936,351","¥10,327,549","¥10,314,039","¥10,323,939","¥5,719,183",,"-¥103,184",,
,,引き落とし,,外食、ウーバーイーツ、システム,タクシー、百貨店,システム,ウーバーイーツ、タクシー、システム,タクシー,ウーバーイーツ、システム,源泉所得税、ウーバーイーツ,ウーバーイーツ,ROBOT PAYMENT、ウーバーイーツ,ウーバーイーツ,ウーバーイーツ,,,ウーバーイーツ,ウーバーイーツ、タクシー,MIMASU,ウーバーイーツ、AGODA,コメダ珈琲、ウーバーイーツ,KOREKARAMYSTER,,Amazon、ウーバーイーツ,外食,Amazon、タクシー、ランサーズ,STOCKSUN,,,Amazon,クレカ、タクシー,システム,,,,,,
,,振込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
